date,advancing,declining,new_highs,new_lows,pct_above_50dma,pct_above_200dma
2025-02-12,263,237,32,14,65.6,64.9
2025-02-13,306,194,61,18,74.2,67.1
2025-02-14,267,233,27,26,71.6,63.1
2025-02-17,279,221,32,10,68.4,60.6
2025-02-17,265,235,68,24,62.8,70.5
2025-02-18,278,222,35,14,68.5,65.9
2025-02-19,272,228,51,28,62.0,66.4
2025-02-20,316,184,66,23,76.5,73.1
2025-02-21,273,227,10,19,62.1,68.8
2025-02-24,320,180,43,12,62.7,60.4
2025-02-24,229,271,64,28,67.8,67.7
2025-02-25,276,224,39,33,70.5,60.4
2025-02-26,304,196,11,15,61.6,68.5
2025-02-27,246,254,19,9,72.6,67.6
2025-03-03,294,206,60,22,71.4,64.4
2025-03-03,276,224,22,25,73.0,72.2
2025-03-03,277,223,53,18,65.7,70.3
2025-03-04,296,204,73,27,63.0,64.4
2025-03-05,246,254,41,9,75.3,67.1
2025-03-07,295,205,42,23,63.3,68.2
2025-03-10,268,232,38,21,71.9,66.4
2025-03-10,300,200,44,36,51.9,65.7
2025-03-10,311,189,5,34,68.9,60.1
2025-03-11,298,202,24,10,75.8,66.8
2025-03-13,256,244,70,29,66.8,65.1
2025-03-14,275,225,63,10,62.1,73.4
2025-03-17,273,227,41,25,66.5,58.6
2025-03-17,275,225,58,41,67.9,68.2
2025-03-18,315,185,48,22,58.6,66.6
2025-03-19,286,214,17,16,77.0,67.3
2025-03-20,245,255,11,19,65.6,64.8
2025-03-21,287,213,44,21,70.3,63.4
2025-03-24,266,234,35,19,73.4,65.4
2025-03-24,262,238,62,21,61.5,67.1
2025-03-25,251,249,22,6,64.5,76.5
2025-03-26,308,192,60,30,67.8,69.9
2025-03-27,285,215,23,8,73.0,63.4
2025-03-31,288,212,49,27,70.3,63.5
2025-03-31,297,203,37,10,58.6,70.1
2025-03-31,244,256,14,37,62.5,66.6
2025-04-01,285,215,41,9,65.0,71.5
2025-04-02,277,223,39,2,65.6,71.7
2025-04-04,266,234,25,23,71.5,69.6
2025-04-07,270,230,51,36,74.3,62.0
2025-04-07,358,142,20,7,70.0,67.9
2025-04-07,294,206,59,29,64.0,68.6
2025-04-08,310,190,55,31,72.6,71.1
2025-04-10,272,228,20,24,66.2,73.3
2025-04-11,263,237,34,15,73.3,71.3
2025-04-14,286,214,44,36,59.7,71.3
2025-04-14,313,187,58,28,64.6,66.1
2025-04-15,303,197,31,18,61.0,63.5
2025-04-16,295,205,33,12,67.6,69.5
2025-04-17,280,220,42,20,67.2,68.3
2025-04-18,264,236,32,2,62.7,63.6
2025-04-21,277,223,56,19,69.3,64.5
2025-04-21,294,206,65,19,64.4,63.6
2025-04-22,294,206,25,27,63.4,61.7
2025-04-23,300,200,20,26,73.7,65.9
2025-04-24,293,207,60,15,76.5,67.0
2025-04-28,265,235,41,22,74.2,71.8
2025-04-28,297,203,49,21,72.5,66.2
2025-04-28,261,239,43,46,72.5,65.5
2025-04-29,324,176,12,17,70.5,65.6
