date,open,high,low,close,volume
2025-02-12,68.2,68.72,67.53,67.97,10524650
2025-02-13,68.2,68.15,67.32,67.93,11158357
2025-02-14,68.19,68.6,67.69,67.92,12564238
2025-02-17,68.49,68.44,67.94,68.23,14201960
2025-02-17,67.96,68.61,67.8,68.2,17426459
2025-02-18,67.89,68.43,67.37,67.63,9441545
2025-02-19,67.7,67.96,67.5,67.81,16898810
2025-02-20,67.58,68.46,67.48,67.74,9725394
2025-02-21,67.95,68.37,66.96,67.7,13341918
2025-02-24,67.66,68.48,67.29,67.79,10348391
2025-02-24,67.61,68.61,67.27,67.93,12936050
2025-02-25,68.28,69.16,68.27,68.43,14507144
2025-02-26,69.05,69.3,68.17,68.72,5082751
2025-02-27,68.56,69.0,68.62,68.78,10398237
2025-03-03,68.23,69.3,67.86,68.5,7559030
2025-03-03,68.14,68.48,67.73,68.13,13936248
2025-03-03,68.1,68.67,67.84,68.27,11955301
2025-03-04,68.97,69.59,68.36,68.82,11831267
2025-03-05,68.77,69.51,68.5,68.86,16010678
2025-03-07,69.08,69.2,68.23,68.84,13886475
2025-03-10,68.95,69.72,68.46,69.08,9446317
2025-03-10,68.47,68.86,67.78,68.52,13657022
2025-03-10,68.71,69.21,68.07,68.43,10101194
2025-03-11,68.51,69.17,67.84,68.66,10315028
2025-03-13,69.16,69.48,68.62,69.05,8836773
2025-03-14,69.25,69.26,68.47,68.97,12707311
2025-03-17,68.86,69.84,68.44,69.15,7772628
2025-03-17,69.44,69.64,69.01,69.27,11588279
2025-03-18,69.4,70.22,68.93,69.61,14221890
2025-03-19,68.87,69.64,68.93,69.17,12343694
2025-03-20,69.22,69.86,69.03,69.43,10841283
2025-03-21,68.49,69.14,68.46,68.83,8693531
2025-03-24,67.55,68.46,67.53,67.82,10336581
2025-03-24,67.35,68.43,67.19,67.65,12845630
2025-03-25,67.34,67.67,67.13,67.37,13413517
2025-03-26,68.1,68.6,67.38,67.79,7777885
2025-03-27,68.28,68.87,67.73,68.13,6349619
2025-03-31,67.87,68.22,67.5,67.71,11830312
2025-03-31,67.95,68.58,67.48,68.12,8684160
