date,us_10y,us_2y,us_2s10s,hy_spread,real_yield
2025-02-12,4.479,4.267,0.212,356.8,2.072
2025-02-13,4.48,4.263,0.217,362.5,2.109
2025-02-14,4.467,4.275,0.193,339.6,2.223
2025-02-17,4.447,4.242,0.205,340.0,2.025
2025-02-17,4.426,4.235,0.191,339.9,2.039
2025-02-18,4.427,4.243,0.184,348.1,2.245
2025-02-19,4.409,4.257,0.153,348.3,2.032
2025-02-20,4.348,4.274,0.074,344.6,1.83
2025-02-21,4.34,4.274,0.066,353.6,2.128
2025-02-24,4.361,4.265,0.096,358.4,1.981
2025-02-24,4.373,4.254,0.119,346.2,2.043
2025-02-25,4.335,4.246,0.089,355.2,2.162
2025-02-26,4.364,4.237,0.126,350.1,2.178
2025-02-27,4.376,4.245,0.131,356.4,1.94
2025-03-03,4.403,4.248,0.155,337.3,1.971
2025-03-03,4.378,4.242,0.137,352.7,2.034
2025-03-03,4.412,4.242,0.17,333.1,2.14
2025-03-04,4.417,4.237,0.18,357.7,2.142
2025-03-05,4.39,4.244,0.145,337.0,1.92
2025-03-07,4.397,4.223,0.174,354.6,1.86
2025-03-10,4.359,4.237,0.121,349.7,2.041
2025-03-10,4.368,4.245,0.123,340.0,1.927
2025-03-10,4.343,4.274,0.069,357.6,2.162
2025-03-11,4.345,4.295,0.051,341.2,2.062
2025-03-13,4.34,4.311,0.029,340.1,2.041
2025-03-14,4.353,4.307,0.047,337.8,2.188
2025-03-17,4.325,4.287,0.038,330.8,2.098
2025-03-17,4.334,4.287,0.047,337.7,2.136
2025-03-18,4.317,4.265,0.052,334.2,1.946
2025-03-19,4.292,4.264,0.028,339.0,1.749
2025-03-20,4.26,4.266,-0.007,341.0,2.037
2025-03-21,4.27,4.268,0.002,334.9,1.928
2025-03-24,4.282,4.286,-0.005,338.4,1.835
2025-03-24,4.282,4.255,0.026,347.3,1.99
2025-03-25,4.268,4.268,-0.001,339.1,1.866
2025-03-26,4.27,4.278,-0.009,348.1,1.922
2025-03-27,4.253,4.291,-0.038,342.6,1.753
2025-03-31,4.267,4.3,-0.034,336.1,2.007
2025-03-31,4.272,4.281,-0.008,332.7,1.983
2025-03-31,4.275,4.282,-0.008,350.7,2.015
2025-04-01,4.292,4.278,0.014,340.0,1.966
2025-04-02,4.254,4.277,-0.024,336.3,2.047
2025-04-04,4.22,4.269,-0.049,326.2,1.833
2025-04-07,4.22,4.242,-0.022,335.6,1.844
2025-04-07,4.213,4.237,-0.024,337.8,1.925
2025-04-07,4.183,4.235,-0.052,336.1,1.588
2025-04-08,4.184,4.227,-0.043,348.2,1.9
2025-04-10,4.195,4.213,-0.018,352.6,1.958
2025-04-11,4.207,4.229,-0.022,337.5,1.907
2025-04-14,4.224,4.238,-0.014,331.0,1.906
2025-04-14,4.209,4.226,-0.016,334.3,1.788
2025-04-15,4.246,4.263,-0.017,338.8,2.03
2025-04-16,4.231,4.286,-0.055,326.8,1.962
2025-04-17,4.224,4.309,-0.086,330.8,1.813
2025-04-18,4.254,4.304,-0.05,342.4,2.108
2025-04-21,4.256,4.298,-0.041,317.8,1.915
2025-04-21,4.267,4.269,-0.002,326.9,2.042
2025-04-22,4.26,4.262,-0.003,330.4,2.061
2025-04-23,4.269,4.253,0.017,337.0,1.992
2025-04-24,4.282,4.248,0.033,344.5,1.972
2025-04-28,4.303,4.265,0.038,325.7,1.911
2025-04-28,4.341,4.248,0.093,336.9,2.077
2025-04-28,4.352,4.253,0.098,331.6,1.92
2025-04-29,4.336,4.249,0.087,345.0,1.841
2025-04-30,4.328,4.258,0.069,338.3,2.186
2025-05-02,4.311,4.238,0.073,332.3,2.052
2025-05-05,4.314,4.255,0.059,339.5,1.748
2025-05-05,4.311,4.264,0.047,339.2,1.86
2025-05-05,4.306,4.274,0.032,348.8,2.078
2025-05-06,4.307,4.278,0.028,332.0,2.094
2025-05-08,4.346,4.271,0.074,349.2,2.096
2025-05-09,4.343,4.28,0.063,333.4,2.133
2025-05-12,4.33,4.281,0.049,329.6,2.021
2025-05-12,4.287,4.269,0.018,333.2,2.038
2025-05-13,4.27,4.253,0.017,335.0,1.821
2025-05-14,4.245,4.245,-0.001,342.1,1.911
2025-05-15,4.246,4.236,0.01,334.1,1.956
2025-05-16,4.206,4.222,-0.016,318.2,1.777
2025-05-19,4.227,4.208,0.019,340.1,1.682
2025-05-19,4.218,4.225,-0.007,336.3,1.942
2025-05-20,4.2,4.214,-0.014,330.0,2.131
2025-05-21,4.214,4.207,0.008,336.7,1.956
2025-05-22,4.278,4.179,0.099,325.3,1.908
2025-05-23,4.328,4.162,0.166,347.2,2.12
2025-05-26,4.356,4.162,0.194,350.2,1.877
2025-05-26,4.344,4.204,0.139,323.2,2.075
2025-05-27,4.381,4.191,0.191,326.8,2.068
2025-05-28,4.391,4.194,0.197,325.8,2.071
2025-05-30,4.404,4.214,0.19,334.1,2.229
2025-06-02,4.404,4.202,0.202,341.9,2.272
2025-06-02,4.415,4.183,0.232,341.3,2.038
2025-06-02,4.42,4.188,0.231,328.2,2.052
2025-06-03,4.418,4.197,0.222,331.1,2.366
2025-06-05,4.407,4.216,0.191,342.1,2.097
2025-06-06,4.405,4.208,0.197,335.3,2.047
2025-06-09,4.385,4.215,0.17,339.9,2.181
2025-06-09,4.382,4.218,0.163,335.6,2.124
2025-06-10,4.371,4.208,0.163,332.7,2.028
2025-06-11,4.371,4.184,0.187,320.7,2.008
2025-06-12,4.347,4.185,0.162,326.3,2.107
2025-06-13,4.349,4.207,0.142,331.3,2.078
2025-06-16,4.32,4.211,0.109,337.9,1.959
2025-06-16,4.345,4.215,0.13,318.2,2.049
2025-06-17,4.356,4.222,0.134,324.4,2.062
2025-06-18,4.364,4.237,0.127,336.2,1.999
2025-06-19,4.372,4.217,0.155,319.1,2.082
2025-06-20,4.393,4.219,0.174,332.2,2.244
2025-06-23,4.364,4.232,0.132,327.3,2.195
2025-06-23,4.382,4.232,0.15,350.9,1.957
2025-06-24,4.389,4.225,0.164,329.0,2.099
2025-06-25,4.36,4.235,0.125,329.1,2.336
2025-06-27,4.348,4.218,0.13,334.5,2.052
2025-06-30,4.378,4.19,0.189,317.9,1.971
2025-06-30,4.365,4.17,0.195,322.1,2.141
2025-06-30,4.376,4.183,0.193,313.4,2.105
2025-07-01,4.376,4.181,0.195,332.5,2.064
2025-07-03,4.365,4.16,0.204,311.0,2.102
2025-07-04,4.365,4.171,0.194,322.4,1.833
2025-07-07,4.364,4.16,0.204,328.3,2.161
2025-07-07,4.368,4.126,0.242,330.4,2.061
2025-07-08,4.372,4.125,0.247,314.6,2.162
2025-07-09,4.403,4.13,0.274,319.8,2.061
2025-07-10,4.411,4.156,0.255,333.3,2.07
2025-07-11,4.401,4.179,0.222,323.4,2.188
2025-07-14,4.376,4.162,0.214,321.0,1.999
