date,vix,vix_3m,put_call_ratio
2025-02-12,18.83,21.55,0.944
2025-02-13,18.94,19.99,0.992
2025-02-14,19.3,21.45,0.782
2025-02-17,18.92,22.16,0.896
2025-02-17,19.53,22.82,0.731
2025-02-18,19.43,21.22,0.725
2025-02-19,18.28,19.84,0.946
2025-02-20,18.95,21.14,0.904
2025-02-21,19.33,22.32,0.806
2025-02-24,21.26,22.52,0.815
2025-02-24,20.53,23.81,0.871
2025-02-25,19.97,20.99,0.985
2025-02-26,20.22,22.03,0.997
2025-02-27,19.51,21.99,0.757
2025-03-03,18.09,19.45,0.859
2025-03-03,19.18,20.75,0.731
2025-03-03,19.96,21.56,0.855
2025-03-04,19.02,22.14,1.039
2025-03-05,19.03,21.61,0.848
2025-03-07,19.74,21.0,0.693
2025-03-10,19.11,21.28,0.834
2025-03-10,21.6,24.68,1.0
2025-03-10,22.99,26.82,0.999
2025-03-11,21.6,23.73,0.827
2025-03-13,21.82,23.18,0.842
2025-03-14,22.69,24.04,1.015
2025-03-17,21.76,25.57,0.797
2025-03-17,21.69,23.66,0.943
2025-03-18,21.96,25.16,0.673
2025-03-19,21.57,22.86,0.937
2025-03-20,21.86,24.62,1.05
2025-03-21,22.0,24.44,0.91
2025-03-24,21.05,24.74,0.932
2025-03-24,21.13,22.91,0.949
2025-03-25,21.37,24.34,0.898
2025-03-26,21.83,23.03,0.686
2025-03-27,22.07,23.43,0.758
2025-03-31,21.94,24.5,0.963
2025-03-31,21.54,25.39,0.766
2025-03-31,22.22,24.64,0.874
2025-04-01,22.07,24.5,0.759
2025-04-02,22.09,23.22,0.788
2025-04-04,23.05,24.6,0.551
2025-04-07,23.23,26.3,0.746
2025-04-07,22.41,24.29,0.725
2025-04-07,22.33,23.64,0.827
2025-04-08,22.9,24.43,0.775
2025-04-10,23.98,26.21,0.723
2025-04-11,24.65,26.42,0.885
2025-04-14,23.1,25.45,0.75
2025-04-14,24.13,25.88,0.884
2025-04-15,24.04,26.12,0.925
2025-04-16,24.0,27.14,0.829
2025-04-17,23.83,26.29,0.95
2025-04-18,23.37,25.38,0.837
2025-04-21,23.54,27.42,0.911
2025-04-21,22.24,25.67,0.823
2025-04-22,22.77,26.22,0.502
2025-04-23,21.97,24.45,0.966
2025-04-24,22.64,24.92,0.776
2025-04-28,22.78,24.57,0.945
2025-04-28,23.72,25.09,0.723
2025-04-28,24.51,28.18,0.842
2025-04-29,26.46,28.13,0.849
